0,1,2,3
1,2,3,4
2,3,4,5
3,4,5,6
7,8,9,10
8,9,10,11
9,10,11,12
10,11,12,13
14,15,16,17
15,16,17,18
16,17,18,19
17,18,19,20
0,7,14,21
3,9,15,21
1,8,15,22
4,10,16,22
2,9,16,23
5,11,17,23
0,8,16,24
3,10,17,24
6,12,18,24
21,22,23,24
1,9,17,25
4,11,18,25
22,23,24,25
2,10,18,26
5,12,19,26
23,24,25,26
3,11,19,27
6,13,20,27
24,25,26,27
7,14,21,28
10,16,22,28
8,15,22,29
11,17,23,29
9,16,23,30
12,18,24,30
7,15,23,31
10,17,24,31
13,19,25,31
28,29,30,31
8,16,24,32
11,18,25,32
29,30,31,32
9,17,25,33
12,19,26,33
30,31,32,33
10,18,26,34
13,20,27,34
31,32,33,34
14,21,28,35
17,23,29,35
15,22,29,36
18,24,30,36
16,23,30,37
19,25,31,37
14,22,30,38
17,24,31,38
20,26,32,38
35,36,37,38
15,23,31,39
18,25,32,39
36,37,38,39
16,24,32,40
19,26,33,40
37,38,39,40
17,25,33,41
20,27,34,41
38,39,40,41
